Heading,Content,Replies
BGP command disablepeerascheck,HiI have a question regarding the BGP command disablepeerascheck on Nexus 7700I have a Datacenter architecture with Nexus 7700 From a VRF in AS BGP 65000 I need to go to the AS BGP 65500 to go to an other VRF in AS BGP 65000 65000  65500  65000With the command allowasin it doesnt workWith the command disablepeerascheck it works But does not this command create a network loop riskIs there an other solutionThanks for your help,Have you tried with asoverride or its synonym over NXOS on the devices with AS 65500 under the interfaces facing to routers with AS 65000 Regards RVCE Try allowasin 10  sometimes your ASPath string contains too many local AS instances eg 2byte vs 4byte AS scenarios
OSPF Path Issue,Hi Guys Good day Would like to ask this issue Ive encountered From Branch A they accessing route 10110X from External We manipulated by adding metric from DC 100 and then from HQ is just the default one We tried turning off OSPF peer between HQISSW to BranchACS02 So far the output is good and working accordingly From Branch theyre using the 100 toward to DC But when we tried to revert turning up again OSPF peering between HQ and Branch Traffic went to Branch to HQ using the default metric Strange thing is route to 10110X is still using the higher metricWhich is not goodThis the only trace i get We can see on Wrong Path that Branch still using path with 100 metric Temporary solution we remove the 10110X in DC side so i will not be redistributed to OSPF So in Branch A the only route toward to 1011XX is Via HQ path Thank you,HiWhat happen is the link between branch and DC is down are your still receiving the route could you please execute show ip ospf database Thank you RVCE Hi No network interruption on all of the sites The only issue is that Branch A using the DC path to reach 1011XX which is not the planned and Because its using the 100 metricAs mentioned we removed 1011XX on DC so that when DC redistribute its route to OSPF 1011xx will not be includedRight now 1011XX from RID 193 which from HQ is active and in ospf database of Branch AIts just strange that it uses the higher metric 100 rather that the default one 
BGP MTU discovery,HiCan someone help me getting any brief document on PMTUD support for BGP How it works when to enable when to disable etcI have tried several Cisco sites but did not able to find a brief one Thanks for your help RegardsGodwin S,HiIt is useful when you have devices with different MTU configured basically packets passing through of different devices with different MTU configured on their interfacesTo configure neighbor xxxx transport pathmtudiscovery  also check the attachment reference httpswwwciscocomcenustddocsiosxmliosiproutebgpconfigurationxe3sirgxe3sbookconfiguringbgpneighborsessionoptionspdf This link could be usefulhttpnagendrakumarnagendrablogspotcom201003bgppathmtudiscoveryhtml  RVCE Hi GodwinIn addition to Julios points let me share some thoughtsYou already know the obvious Path MTU Discovery helps two communcating endpoints discover the maximum size of a packet that can pass between them unfragmented This is done by sending out packets with the DF bit set and listening to incoming ICMP Fragmentation Needed messages to understand whether the packets toward a particular peer should be made smallerThe mechanism of PMTUD is not really BGPspecific it is implemented in IP and TCP drivers and BGP just sets the necessary options on the TCP socket when it creates it so that the PMTUD in the TCPIP stack of the router can kick in If you are interested in the nittygritty details check out RFC 1191 for the PMTUD mechanism itself and perhaps also RFC 2923 for a discussion of some pitfalls that have been discovered sinceNote that PMTUD does not make sense for eBGP peers that are directly connected backtoback These peers share the same link and so are supposed to be using the same MTU different MTUs on both sides of this link would constitute a misconfiguration and would not be detected by PMTUD anywaySo the PMTUD makes only sense for iBGP or eBGP neighbors that are at least one hop away of each other note that for eBGP this is a rare scenario As a matter of rule PMTUD is always a good thing if you can ensure that the ICMP Fragmentation Needed messages will not be blocked somewhere along the path Sadly exactly because many firewall and ACL implementations are overzealous these messages are often dropped breaking the PMTUD entirelyWhether the PMTUD will make any difference is questionable Assuming that you would use the PMTUD for iBGP neighbors it is still your network your AS and youre the master of all things there including MTUs Usually if possible MTUs are the same along the entire network so PMTUD would not really be kicking into action In situations where you have mixed MTUs PMTUD would obviously be useful to haveA couple of things to consider Best regardsPeter RVCE I believe Ive noticed if you enable general PMTUD on a router BGP then by default uses itJulio and Peter have also mentioned different MTU sizes along a path between BGP peers but I believe Ive also noticed if PMTUD isnt enable BGP will use an MTU of 576 for offnet destinations Ie in situation where you know you have standard 1500 MTU Ethernet it wont be used without PMTUD enabledIn general I think it useful to always have in enabled Exceptions would be for cases where using is going to cause an issueAlso on the subject of enabling PMTUD Ive also found increasing the default size of the devices TCP RWIN might also increase BGP initial route transfers between peers
EIGRP static default route VS ip defaultnetwork,Hi Can anyone explain me how different between 1static default route2ip defaultnetwork Solved Go to Solution,HiVery shortly ip defaultnetwork should not be used at all today It was used in old IGRP years and years back  its purpose was to flag a specific classful network not belonging to your autonomous system as a candidate default network The path toward this candidate default network was then also used as a path toward the default route However the use of ip defaultnetwork required you to redistribute this classful network into IGRP or EIGRP and have it flagged with this command on the router that performed the redistribution The command did not really work with classless networks there were some nasty hacks around it and all in all it is truly a fossil of ages past that is best forgottenToday we should always use the 00000 as the default route and because  sadly  EIGRP still does not support the defaultinformation originate command the easiest way to inject this route into EIGRP is to redistribute itYou might be interested in reading the following document toohttpswwwciscocomcenussupportdocsiproutinginformationprotocolrip16448defaulthtmlFeel welcome to ask furtherBest regardsPeter RVCE HiVery shortly ip defaultnetwork should not be used at all today It was used in old IGRP years and years back  its purpose was to flag a specific classful network not belonging to your autonomous system as a candidate default network The path toward this candidate default network was then also used as a path toward the default route However the use of ip defaultnetwork required you to redistribute this classful network into IGRP or EIGRP and have it flagged with this command on the router that performed the redistribution The command did not really work with classless networks there were some nasty hacks around it and all in all it is truly a fossil of ages past that is best forgottenToday we should always use the 00000 as the default route and because  sadly  EIGRP still does not support the defaultinformation originate command the easiest way to inject this route into EIGRP is to redistribute itYou might be interested in reading the following document toohttpswwwciscocomcenussupportdocsiproutinginformationprotocolrip16448defaulthtmlFeel welcome to ask furtherBest regardsPeter
Novice config for 73013750G at home ,Hello my apologies if this is in the wrong section I could not find any newb subforumsI am looking to do some self study and implement some real world gear I would like to purchase a used Cisco Router that can load balance 2 x HFC modem links of 10040Mb and also connect up to 3750G L3 switch I haveAs its just for home use it wouldnt be doing much more than internet stuff  port forwardingGoogling max throughput turns up some confusing results for various modelsWhat would you recommend for a used bargain purchase with some future throughput overheadThanks for your time,Hello is your ISP providing the cable modem which usually means you get an Ethernet handoff or are you looking for a Cisco router with a Cable Modem HWIC  In the first case any of the 800ISR routers should be sufficient In the latter the Cisco 1805 has an integrated cable modem or you can get a 28003800ISR a 37253745 or an 1841 with a Cable Modem HWIC Whether you can get any of these cheapdepends on your budget Check the document below for reference Cable Modem HighSpeed WAN Interface Cards httpswwwciscocomcenustddocsroutersaccessinterfacesichardwareinstallationguidecabhwichtml RVCE HFC modems both suppliedAlthough quite old I went with a 7301 w 1GB RAM a bit overkill I know but it had the interfaces I wanted to play with and the right form factor RVCE Cable ModemDynamic IP  Cisco 7301Gigabit Ethernet 00 to Cable ModemGigabit Ethernet 02 SFP GBIC to Switch  Cisco 3750G L3SFP port 52 to RouterThe Eth ports are physically split into 3 sections 116 1732  3348 I would like 3 separate VLANs for pcwifiapipcam to keep it tidy and to learn the process First thingsWhat ipsubnets would you use and on what interfaces to get started
ISR4451K9,Hi Guys I am having issue with this unit can you please guide me i cannot install IOS from rommon as ISR have no bootable file Output is given below File reception completedBoot image size  424692968 0x19504ce8 bytesPackage header rev 1 structure detectedCalculating SHA1 hashdonevalidatepackage SHA1 hashcalculated f35e6d42a361f79865ad59fb02177c0559fada9aexpected beecd4b698cc252b913b643cacc2ea2b865dae09SHA1 hash doesnt matchapplication image failed to runboot netboot failedrommon 15 ,Hi Looks like image might be corrupted corrupted SHA1 hash doesnt match  is there only one image in flash  You could add another one if only 1 then try boot or try boot an image from usb instead  then when its up transfer between usb and flash rommon 1  boot usb1isr4400universalk9031501S1552S1stdSPAbin RVCE httpswwwciscocomcenussupportdocsrouters4000seriesintegratedservicesrouters200678TroubleshootCisco4000SeriesISRStuckhtml RVCE Thanks for quick reply I have tried another IOS but the same problem and I have tried to install from USB but Unit is not picking USB it is showing nothing anyother help please RVCE so if its not seeing usb then its the wrong format in usb  reformat to FAT then add your image and reinsert then boot Please post full outout from console if it fails to boot when usb is reformatted apart form usb you now have 2 images in bootflash yes  Have you validated the md5 of the images there ok and match what you downloaded 
RTO SRTT and Multicast Flow Timers,HelloI am studying so deeptly the EIGRP timers and I have found out new concepts Multicast Flow Timer RTO Retransmission Timeout SRTT Smooth roundtrip timeI know that the timers Multicast and RTO are used to form the SRTT but I would like to know the formula and to know the Header field where appearBest regards,
ISP best practice,Hi all Is it better to manage my Core routers gateway with public ip or can i make it private ip i tried using private ip and base on traceroute my private ip is exposed does it matter with direct internet or dedicated internet clients seeing a private ip in traceroute or if you can provide me any guide or articles for a Startup internet service provider like providing hotspot and serving OTT other that cisco press Thanks all,HiA public IP is configured on the interface facing to the Internet provider and most of the time the device is a firewall or a router with firewall IOS I suggest manage the devices with a internal IP address private it is by security purposes RVCE I think i have read some guides that ISP core routers should use routable internet address
Identify VLAN source,HiWeve about 300 Cisco devices in our networkCouple of weeks ago ive noticedabout 30 new vlans appeared on all the L3 devicesI can confirm that all these vlans do not belong to our networkI tried to identify source of these foreign vlansbut no success Can anybody please advice me how it will be possible find the source device where these vlans are coming from Thank you,Hi therePlease clarify the Layer2 VLAN definitions appearded in the VLAN databases or the Layer3 SVIs appeared in the running config cheersSeb RVCE HiThe VLANs cannot be created by themselves so you could verify your Syslog servers or configure archive to collect more information about who configured it You should verify your VTP configuration as well RVCE Seb asks a good question about whether we are talking about layer 2 vlans or layer 3 SVI Assuming that it is layer 2 vlans then probably the next question is what vtp mode the switches are in and what switches are masters in vtp HTH Rick RVCE Hi Thanks for your repliesWith one of our core 4500X i can see vlans in run config also With other L3 and L2 switches foreign VLANs are shown in vlan database The issue is we have wan links from few providers and i can determine by vlan name these vlans are belongs to other companiesIve contacted already all of our providersbut nobody of them confirmed the problem as own RVCE Are you running VTP ie not transparent on the switches in questions It seems unlikely that you would have the same VTP domain name configured as your WAN providers but not impossible vtp domain ciscoIf you are running VTP client server what is the output of sh vtp status  This will give us a clue as to the where abouts of the VTP serverIf you arent using VTP and VLANs are appearing in your database which havent been configured by your network team then you have a more serious security situtation to deal with cheersSeb RVCE Thanks for the additional information If you do see the vlans in show run of one of your 4500 then it is likely that someone added those vlans by configuring that switch So then the question becomes who has access to configure that switch And the question is also whether you have any logging enabled that might show who made those changes I agree with Seb that it is unlikely though possible that the new vlans were learned from the ISP show vtp status would be a good way to gather information that might be helpful HTH Rick RVCE HiFrom my knowledge even if switch does not have any VTP configured will be in null domain will accept the vtp configurationincluding domain name from other switches and update it in its database This is applicable only if new switch in null domain So I am suspecting this might be the case here Still not sure if we can track from where the VLAN information is sourced by using sh vtp status output I think we need to run this on all switches to see which one is master Please advise me if there is any other option to get this
CPU utilization for five seconds 8784 one minute 92 five minutes 88,Hi allplease help B1sh proc cpu sortCPU utilization for five seconds 8784 one minute 92 five minutes 88PID Runtimems Invoked uSecs 5Sec 1Min 5Min TTY Process 324 44008380 461987777 95 087 086 083 0 IP SLAs XOS Even 101 14316976 376106982 38 039 041 039 0 PSE2 UART period 105 15875472 245851843 64 039 037 035 0 Ethernet Msec Ti 134 12748956 19954315 638 015 016 016 0 IP Input 31 7286728 16542628 440 015 020 021 0 ARP Input 14 2774724 1957715 1417 015 002 000 0 Environmental mo 334 762216 2118276 359 007 001 000 0 EIGRPIPv4 Hello 104 528684 11777492 44 007 001 000 0 Ethernet Timer C 314 143524 391554 366 007 000 000 0 Track 26 6468 196925 32 007 000 000 0 IPC Keep Alive M 48 3711372 14865058 249 007 005 007 0 REVT background 87 4155008 7840412 529 007 008 007 0 Netclock Backgro 69 2309956 1987942 1161 007 002 002 0 PerSecond Jobs 130 2562112 60539016 42 007 007 007 0 IPAM Manager 7 99888 459395 217 000 000 000 0 Pool Manager 13 11431600 32631 350361 000 015 012 0 Licensing Auto U 12 0 1 0 000 000 000 0 Image License br 15 13424 391559 34 000 000 000 0 IPC Event Notifi sh verCisco IOS Software C2900 Software C2900UNIVERSALK9M Version 1521T2 RELEASE SOFTWARE fc2Technical Support httpwwwciscocomtechsupportCopyright c 19862012 by Cisco Systems IncCompiled Sun 19Feb12 0134 by prodrelteamROM System Bootstrap Version 1501rM15 RELEASE SOFTWARE fc1BSBRTRNB1 uptime is 3 weeks 1 day 19 hours 13 minutesSystem returned to ROM by reload at 003046 ALM Sun Aug 13 2017System restarted at 003134 ALM Sun Aug 13 2017System image file is flash0c2900universalk9mzSPA1521T2binLast reload type Normal Reload,HiI have experienced situations where a frame is generating high CPU utilization I suggest configure the following command under the interfaces no more than 10 mins ip accounting macaddress inputip accounting macaddress output and verify the who is generating traffic through show interface macaccounting Once it is identified you can block the Mac address Hope it is useful RVCE You might be bumping into the physical forwarding capacity of the routerWhats your aggregate bandwidth being forwarded when this is happening RVCE Hi Josephthanks for your replay we have only g00 connected as trunk portand we have about 20 subinterfaces  10 gre tunnels  ipsecnatbut all of these must be cef switched not process switched and even not fast switching so when cpu was 9491 and inputoutput load g00 was about 27 mbitpsnext day cpu was 4541 load g00 was about 21 mbitpsand sometimes I see cpu was 3331 load g00 was about 87 mbitps RVCE CEF switching doesnt mean a 2900 CPU doesnt work its just Ciscos bestAny chance theres fragmentation happening on you tunnels That will drive up CPU and in later IOS releases I believe its account for as interrupt CPU RVCE thanks for your again I will check MTU and fragmentationmay be some server do not configured to support PMTU discavery or similar question RVCE Hi Did you try with Ip accounting RVCE Just in case you havent seen it httpswwwciscocomcenussupportdocsipgenericroutingencapsulationgre25885pmtudipfraghtmldtidosscdc000283
