Post,Date,Views,Replies,Upvotes,Link,Resolved
CUCM  Bulk Update by Phones Registere,05-18-2018,67,1,0,https://supportforums.cisco.com//t5/ip-telephony/cucm-bulk-update-by-phone-s-registered-ip-address/td-p/3385592,0
Convert Area Code and NPA of called num,05-17-2018,89,2,0,https://supportforums.cisco.com//t5/ip-telephony/convert-area-code-and-npa-of-called-number-to-two-digit-site/td-p/3385127,0
Cisco 8821 deployment guide for CME,11-28-2016,1265,10,5,https://supportforums.cisco.com//t5/ip-telephony/cisco-8821-deployment-guide-for-cme/td-p/2965053,1
UCSS  ESW difference,05-18-2018,92,3,0,https://supportforums.cisco.com//t5/ip-telephony/ucss-amp-esw-difference/td-p/3385360,0
CME error update locale when IP phon,04-25-2007,1175,3,5,https://supportforums.cisco.com//t5/ip-telephony/cme-error-update-locale-when-ip-phone-reset/td-p/806985,0
SIP ITSP to work with UCME ,05-17-2018,80,2,0,https://supportforums.cisco.com//t5/ip-telephony/sip-itsp-to-work-with-ucme/td-p/3385021,0
Are DTMF tones copied to the streams on,05-17-2018,94,1,0,https://supportforums.cisco.com//t5/ip-telephony/are-dtmf-tones-copied-to-the-streams-on-the-bib/td-p/3384896,0
Registration with SIP Provider,05-04-2018,218,10,5,https://supportforums.cisco.com//t5/ip-telephony/registration-with-sip-provider/td-p/3378181,1
TRC M5 Hardware and UCCX Support,05-09-2018,214,5,10,https://supportforums.cisco.com//t5/ip-telephony/trc-m5-hardware-and-uccx-support/td-p/3381079,1
Cisco CP8845 with Asterisk,05-16-2018,134,4,5,https://supportforums.cisco.com//t5/ip-telephony/cisco-cp-8845-with-asterisk/td-p/3384544,0
Emergency Responder  support for Catal,05-17-2018,186,8,40,https://supportforums.cisco.com//t5/ip-telephony/emergency-responder-support-for-catalyst-2960-l-switches/td-p/3384979,1
update and exit softkeys displayed on 7,05-15-2018,158,7,0,https://supportforums.cisco.com//t5/ip-telephony/update-and-exit-softkeys-displayed-on-7937/td-p/3383400,0
ISR4331VK9 Add Voicemail License,05-15-2018,367,10,10,https://supportforums.cisco.com//t5/ip-telephony/isr4331-v-k9-add-voicemail-license/td-p/3383939,1
Mute button logging and disabled,01-12-2018,276,4,5,https://supportforums.cisco.com//t5/ip-telephony/mute-button-logging-and-disabled/td-p/3310268,1
Cisco Call Manager Call Forwarding No A,05-17-2018,88,3,0,https://supportforums.cisco.com//t5/ip-telephony/cisco-call-manager-call-forwarding-no-audio-issues/td-p/3385070,0
Does CME 12x support Enhanced Line Mod,05-17-2018,134,1,5,https://supportforums.cisco.com//t5/ip-telephony/does-cme-12-x-support-enhanced-line-mode-for-88xx/td-p/3385092,1
CME sip trunked to Alcatel 4400,05-16-2018,129,3,0,https://supportforums.cisco.com//t5/ip-telephony/cme-sip-trunked-to-alcatel-4400/td-p/3383971,1
RTMT Timezone data version mismatch,04-09-2015,2397,12,50,https://supportforums.cisco.com//t5/ip-telephony/rtmt-timezone-data-version-mismatch/td-p/2620396,0
DTMF MUTING,05-16-2018,118,6,0,https://supportforums.cisco.com//t5/ip-telephony/dtmf-muting/td-p/3384183,0
SIPUA registration error with ITSP,04-29-2018,316,11,0,https://supportforums.cisco.com//t5/ip-telephony/sip-ua-registration-error-with-itsp/td-p/3375205,1
Difference between ils and gdrp,05-16-2018,162,8,10,https://supportforums.cisco.com//t5/ip-telephony/difference-between-ils-and-gdrp/td-p/3384543,0
Cisco 891 does support CME,05-17-2018,111,1,0,https://supportforums.cisco.com//t5/ip-telephony/cisco-891-does-support-cme/td-p/3384780,1
Reset DN in Call routing for shared ext,05-16-2018,84,1,0,https://supportforums.cisco.com//t5/ip-telephony/reset-dn-in-call-routing-for-shared-extension/td-p/3384627,0
DN in Circular Line Group Getting Calls,05-14-2018,137,3,5,https://supportforums.cisco.com//t5/ip-telephony/dn-in-circular-line-group-getting-calls-even-while-on-a-call/td-p/3383110,0
Cisco CDR Time Discrepancy,05-16-2018,84,2,0,https://supportforums.cisco.com//t5/ip-telephony/cisco-cdr-time-discrepancy/td-p/3384016,0
CUCM With Skype for business integratio,05-15-2018,132,4,0,https://supportforums.cisco.com//t5/ip-telephony/cucm-with-skype-for-business-integration/td-p/3383374,0
sip trunk,05-16-2018,112,4,0,https://supportforums.cisco.com//t5/ip-telephony/sip-trunk/td-p/3384188,0
Broadcast Hunt Group does not ring the ,05-14-2018,160,4,0,https://supportforums.cisco.com//t5/ip-telephony/broadcast-hunt-group-does-not-ring-the-forwarding-device/td-p/3382872,1
UC upgrade 110 to 115  cannot change,05-15-2018,128,5,0,https://supportforums.cisco.com//t5/ip-telephony/uc-upgrade-11-0-to-11-5-cannot-change-subnet-mask-format-as/td-p/3383484,0
Call Forward All Issue  NO audio after,02-23-2018,303,11,15,https://supportforums.cisco.com//t5/ip-telephony/call-forward-all-issue-no-audio-after-forward/td-p/3337040,0
Cisco FXO port connected to a paging s,05-15-2018,119,5,5,https://supportforums.cisco.com//t5/ip-telephony/cisco-fxo-port-connected-to-a-paging-system-who-provide-the/td-p/3383824,0
Message Waiting Indicator MWI,05-14-2018,108,2,0,https://supportforums.cisco.com//t5/ip-telephony/message-waiting-indicator-mwi/td-p/3382885,1
TTL between CUC servers,05-15-2018,191,2,0,https://supportforums.cisco.com//t5/ip-telephony/ttl-between-cuc-servers/td-p/3383885,1
cti route points query,05-14-2018,131,3,0,https://supportforums.cisco.com//t5/ip-telephony/cti-route-points-query/td-p/3383163,0
CP8821 ISR4331 files for phones and ,05-15-2018,160,12,15,https://supportforums.cisco.com//t5/ip-telephony/cp-8821-isr4331-files-for-phones-and-cucme/td-p/3383422,0
Clear all logs in CUCM 6x,04-30-2008,12080,6,25,https://supportforums.cisco.com//t5/ip-telephony/clear-all-logs-in-cucm-6-x/td-p/960985,0
CUCM 115 FCS  Deprecated Endpoints,06-09-2016,12365,44,65,https://supportforums.cisco.com//t5/ip-telephony/cucm-11-5-fcs-deprecated-endpoints/td-p/2902710,0
CUCM 1052  Problem with transfer in ,05-14-2018,210,7,5,https://supportforums.cisco.com//t5/ip-telephony/cucm-10-5-2-problem-with-transfer-in-specific-site/td-p/3383053,1
SMTP port change UC apps such as cucm ,05-15-2018,73,2,0,https://supportforums.cisco.com//t5/ip-telephony/smtp-port-change-uc-apps-such-as-cucm-cuc-ccx-etc/td-p/3383746,0
ucm integration with avaya  call trans,05-15-2018,135,5,0,https://supportforums.cisco.com//t5/ip-telephony/ucm-integration-with-avaya-call-transfer-shows-transferers/td-p/3383516,1
9971  SIP phones cannot communicate wi,09-20-2011,706,3,0,https://supportforums.cisco.com//t5/ip-telephony/9971-sip-phones-cannot-communicate-with-tsp-8-0-3-5/td-p/1778362,0
8851 phone unable to transfer when new ,05-04-2018,203,7,5,https://supportforums.cisco.com//t5/ip-telephony/8851-phone-unable-to-transfer-when-new-call-comes-in/td-p/3378292,1
How to find how many times calls made t,05-15-2018,158,5,0,https://supportforums.cisco.com//t5/ip-telephony/how-to-find-how-many-times-calls-made-to-a-particular-number/td-p/3383380,1
CME 85 and CUE 705,04-17-2018,173,19,10,https://supportforums.cisco.com//t5/ip-telephony/cme-8-5-and-cue-7-0-5/td-p/3367527,0
Removing the Leading 9,05-15-2018,115,1,5,https://supportforums.cisco.com//t5/ip-telephony/removing-the-leading-9/td-p/3383535,1
UCCX 802  Who disconnected the call ,08-07-2012,506,3,0,https://supportforums.cisco.com//t5/ip-telephony/uccx-8-0-2-who-disconnected-the-call-report/td-p/2001975,1
CME 91 voice translation rule,05-14-2018,168,6,0,https://supportforums.cisco.com//t5/ip-telephony/cme-9-1-voice-translation-rule/td-p/3382753,1
InitMMAppletInstance failed to get inst,07-11-2016,12629,23,6,https://supportforums.cisco.com//t5/ip-telephony/initmmappletinstance-failed-to-get-instance/td-p/2918728,0
Cisco IP Phone 7940 HTTP Error 400 ,10-16-2017,1541,3,30,https://supportforums.cisco.com//t5/ip-telephony/cisco-ip-phone-7940-http-error-400-with-extension-mobility/td-p/3199594,1
Unity Connection Call Transfer Failure ,05-15-2018,231,0,0,https://supportforums.cisco.com//t5/ip-telephony/unity-connection-call-transfer-failure-for-pstn-calls/td-p/3383285,0
CUCM 1052  Problem with conference i,05-14-2018,85,5,0,https://supportforums.cisco.com//t5/ip-telephony/cucm-10-5-2-problem-with-conference-in-specific-site/td-p/3383050,0
SIP protocol devices not showing in TSP,05-14-2018,162,0,0,https://supportforums.cisco.com//t5/ip-telephony/sip-protocol-devices-not-showing-in-tsp-client/td-p/3383157,0
CDR Report signs for successful fax,05-14-2018,100,2,5,https://supportforums.cisco.com//t5/ip-telephony/cdr-report-signs-for-successful-fax/td-p/3383010,1
Integrating MS Dynamic CRM with Finesse,03-17-2016,233,4,0,https://supportforums.cisco.com//t5/ip-telephony/integrating-ms-dynamic-crm-with-finesse-for-screen-popup/td-p/2867584,0
Cisco IP Phone 7861,06-01-2017,574,10,0,https://supportforums.cisco.com//t5/ip-telephony/cisco-ip-phone-7861/td-p/3082681,0
SIP Trunk Between CUCM and Asterisk,05-10-2018,290,8,5,https://supportforums.cisco.com//t5/ip-telephony/sip-trunk-between-cucm-and-asterisk/td-p/3381509,1
Registration error 404  Not found,06-18-2011,3468,6,14,https://supportforums.cisco.com//t5/ip-telephony/registration-error-404-not-found/td-p/1671212,1
CUCM Setup for conference calls,05-07-2018,188,13,0,https://supportforums.cisco.com//t5/ip-telephony/cucm-setup-for-conference-calls/td-p/3379352,0
CSCvc46415 CIPC intermittent crash duri,05-11-2018,198,4,0,https://supportforums.cisco.com//t5/ip-telephony/cscvc46415-cipc-intermittent-crash-during-use/td-p/3382145,1
Speed dial in SIP Phones,05-14-2018,121,6,10,https://supportforums.cisco.com//t5/ip-telephony/speed-dial-in-sip-phones/td-p/3382782,1
CUCM 105 ESXi upgrade from 55 to 65,05-13-2018,149,3,15,https://supportforums.cisco.com//t5/ip-telephony/cucm-10-5-esxi-upgrade-from-5-5-to-6-5/td-p/3382399,1
IP Phone 7841  Issues with voicemail,03-29-2018,258,13,20,https://supportforums.cisco.com//t5/ip-telephony/ip-phone-7841-issues-with-voicemail/td-p/3357690,1
Import historical CDR to Excel,04-13-2018,130,3,0,https://supportforums.cisco.com//t5/ip-telephony/import-historical-cdr-to-excel/td-p/3365610,1
MinSE value setting  generating warni,05-11-2018,179,6,10,https://supportforums.cisco.com//t5/ip-telephony/min-se-value-setting-generating-warning-when-implementing/td-p/3382000,1
LDAP filter for IP phone and mobile,02-05-2017,1024,9,0,https://supportforums.cisco.com//t5/ip-telephony/ldap-filter-for-ip-phone-and-mobile/td-p/3027074,1
IPSECTRUST Certificate missing from su,05-13-2018,102,3,0,https://supportforums.cisco.com//t5/ip-telephony/ipsec-trust-certificate-missing-from-subscriber/td-p/3382436,0
Incoming call PSTN transfered to branch,05-05-2018,187,5,0,https://supportforums.cisco.com//t5/ip-telephony/incoming-call-pstn-transfered-to-branch-office-via-aa-unity/td-p/3378744,1
ISR 4331 prigroup configuration is REJ,05-13-2018,128,4,0,https://supportforums.cisco.com//t5/ip-telephony/isr-4331-pri-group-configuration-is-rejected/td-p/3382389,0
Integration of Cisco Unified Communicat,05-12-2018,97,1,0,https://supportforums.cisco.com//t5/ip-telephony/integration-of-cisco-unified-communications-manager-in-gns3-and/td-p/3382226,0
A way to restrict ext mobility on Softp,05-11-2018,159,6,15,https://supportforums.cisco.com//t5/ip-telephony/a-way-to-restrict-ext-mobility-on-softphone/td-p/3382044,1
Certificate expired on Unity Connection,04-04-2018,233,7,0,https://supportforums.cisco.com//t5/ip-telephony/certificate-expired-on-unity-connection/td-p/3360756,0
VMWare Cisco CUCMUnityUCCXCER,05-11-2018,121,4,0,https://supportforums.cisco.com//t5/ip-telephony/vmware-cisco-cucm-unity-uccx-cer/td-p/3381980,0
Cisco Wireless IP Phone 7921 is not reg,04-22-2010,489,4,0,https://supportforums.cisco.com//t5/ip-telephony/cisco-wireless-ip-phone-7921-is-not-registering/td-p/1413369,1
Frustation in Collaboration Job Need Y,05-11-2018,190,8,60,https://supportforums.cisco.com//t5/ip-telephony/frustation-in-collaboration-job-need-your-advice/td-p/3381714,1
Need Help Moving from SCCP firmware to ,05-08-2018,193,6,0,https://supportforums.cisco.com//t5/ip-telephony/need-help-moving-from-sccp-firmware-to-multiplatform-on-8841/td-p/3380382,1
Visio Stencils for VG310 VG320  VG350,01-22-2016,938,7,5,https://supportforums.cisco.com//t5/ip-telephony/visio-stencils-for-vg310-vg320-vg350/td-p/2779344,0
Cisco 8821 Wireless Phone issues,12-29-2016,1726,4,0,https://supportforums.cisco.com//t5/ip-telephony/cisco-8821-wireless-phone-issues/td-p/2938647,0
CUCM version 9 license upgrade,05-11-2018,178,6,5,https://supportforums.cisco.com//t5/ip-telephony/cucm-version-9-license-upgrade/td-p/3381661,1
Ideas for User Import and External Mask,05-10-2018,127,4,0,https://supportforums.cisco.com//t5/ip-telephony/ideas-for-user-import-and-external-mask/td-p/3381578,0
Unable to Call Numbers in the UK that h,05-11-2018,107,10,15,https://supportforums.cisco.com//t5/ip-telephony/unable-to-call-numbers-in-the-uk-that-have-01-after-the-area/td-p/3381797,0
e164 CUCMCUC,05-10-2018,168,5,20,https://supportforums.cisco.com//t5/ip-telephony/e164-cucm-cuc/td-p/3381537,1
Check Media Resource Negotiation in CUC,05-02-2018,241,11,15,https://supportforums.cisco.com//t5/ip-telephony/check-media-resource-negotiation-in-cucm-logs/td-p/3376795,0
CME Tapi Support for Windows 10,09-18-2016,411,5,0,https://supportforums.cisco.com//t5/ip-telephony/cme-tapi-support-for-windows-10/td-p/2972381,0
How to CC voicemail from Unity Connecti,05-10-2018,87,3,0,https://supportforums.cisco.com//t5/ip-telephony/how-to-cc-voicemail-from-unity-connection-to-another-user/td-p/3381527,0
CUCM Hunt Pilot Queuing No answer timer,05-10-2018,114,3,5,https://supportforums.cisco.com//t5/ip-telephony/cucm-hunt-pilot-queuing-no-answer-timer/td-p/3381633,1
Peer Firmware Sharing  Load Server,11-09-2015,138,8,5,https://supportforums.cisco.com//t5/ip-telephony/peer-firmware-sharing-load-server/td-p/2809484,0
CUCM 105 Call Search Space Issue,04-07-2015,269,4,20,https://supportforums.cisco.com//t5/ip-telephony/cucm-10-5-call-search-space-issue/td-p/2664355,0
Inbound PSTN call to UCCX fail,06-20-2016,930,28,30,https://supportforums.cisco.com//t5/ip-telephony/inbound-pstn-call-to-uccx-fail/td-p/2875324,1
Webex File sharing,05-10-2018,117,3,0,https://supportforums.cisco.com//t5/ip-telephony/webex-file-sharing/td-p/3381257,1
Unity 10,05-08-2018,174,5,0,https://supportforums.cisco.com//t5/ip-telephony/unity-10/td-p/3380228,1
with exchange unified mailbox deletin,05-10-2018,131,2,5,https://supportforums.cisco.com//t5/ip-telephony/with-exchange-unified-mailbox-deleting-an-email-with-a-voicemail/td-p/3381435,1
Fidelus Console,05-25-2011,2452,11,15,https://supportforums.cisco.com//t5/ip-telephony/fidelus-console/td-p/1689329,1
Syslog Error on CUBESIP3INTERNAL T,12-02-2015,2600,4,5,https://supportforums.cisco.com//t5/ip-telephony/syslog-error-on-cube-sip-3-internal-tcp-socket-send-blocked/td-p/2794165,0
CUC V10 call fowarding,05-09-2018,130,10,0,https://supportforums.cisco.com//t5/ip-telephony/cuc-v10-call-fowarding/td-p/3380901,0
7821 phones,05-09-2018,101,3,0,https://supportforums.cisco.com//t5/ip-telephony/7821-phones/td-p/3380776,0
Strange issue,05-10-2018,94,4,0,https://supportforums.cisco.com//t5/ip-telephony/strange-issue/td-p/3381171,0
CME SIP phones backlight power saver di,02-12-2017,118,4,5,https://supportforums.cisco.com//t5/ip-telephony/cme-sip-phones-backlight-power-saver-disable/td-p/3063892,0
CUCM admin login page error,05-09-2018,194,4,10,https://supportforums.cisco.com//t5/ip-telephony/cucm-admin-login-page-error/td-p/3380604,1
Could not upload announcement file,05-09-2018,133,6,0,https://supportforums.cisco.com//t5/ip-telephony/could-not-upload-announcement-file/td-p/3381031,0
CUCM DNS and server IP to FQDN changes,05-01-2018,168,6,10,https://supportforums.cisco.com//t5/ip-telephony/cucm-dns-and-server-ip-to-fqdn-changes/td-p/3375971,0
CUBE toll fraud enhancement how to sen,05-25-2016,128,1,0,https://supportforums.cisco.com//t5/ip-telephony/cube-toll-fraud-enhancement-how-to-send-no-answer-back/td-p/2900167,0
TAPS same DNs on different partitions ,05-01-2018,101,4,0,https://supportforums.cisco.com//t5/ip-telephony/taps-same-dns-on-different-partitions-error/td-p/3376037,0
Cisco IOS XE sipua errr,06-17-2017,225,3,0,https://supportforums.cisco.com//t5/ip-telephony/cisco-ios-xe-sip-ua-errr/td-p/3073417,0
L2TP Over IPsec between Cisco ASA and W,05-10-2018,131,0,0,https://supportforums.cisco.com//t5/ip-telephony/l2tp-over-ipsec-between-cisco-asa-and-windows-linux-box/td-p/3381170,0
Cisco CME Sipgate in and outbound calls,05-08-2018,142,10,0,https://supportforums.cisco.com//t5/ip-telephony/cisco-cme-sipgate-in-and-outbound-calls/td-p/3379948,0
L2TP Over IPsec between Cisco ASA and W,05-10-2018,78,0,0,https://supportforums.cisco.com//t5/ip-telephony/l2tp-over-ipsec-between-cisco-asa-and-windows-linux-box/td-p/3381164,0
Paging 900 works but to a Handset 96 d,05-09-2018,117,0,0,https://supportforums.cisco.com//t5/ip-telephony/paging-900-works-but-to-a-handset-96-doesn-t/td-p/3381055,0
IP Phone TFTP firmware issue,05-06-2018,342,17,0,https://supportforums.cisco.com//t5/ip-telephony/ip-phone-tftp-firmware-issue/td-p/3378998,0
Failed to mount Cisco Prime Collaborati,05-08-2018,165,6,0,https://supportforums.cisco.com//t5/ip-telephony/failed-to-mount-cisco-prime-collaboration-deployments-export-as/td-p/3380173,0
Cisco phones using 8X8 service,05-09-2018,71,2,15,https://supportforums.cisco.com//t5/ip-telephony/cisco-phones-using-8x8-service/td-p/3380575,0
