Heading,Content,Replies
HELP NAT translation time out optimization,Hi guys I need some of your opinions on how to optimize our nat translations time out First of all heres the current config we have ip nat translation timeout 10800ip nat translation tcptimeout 10800ip nat translation udptimeout 360ip nat translation dnstimeout 40 public IPs allocated 64approximate number of translations during peak hours 250000 Issues were encountering1 We are just on 250K translations entry yet the pool allocation shows always 100 I understand theres some nonpattable protocols we will modify our ACL soon 2 Some users are having a hard time establishing a stable session with some AWS sites Webhosting sites Cpanel What Im seeing in the translation table is that theres always multiple translation entry to a single user with different inside global public IPs addresses which could break their existing tcp session with those services mentioned above as some of them are very strict in terms of source ips when youve logged in Users are actually getting error messages Your IP address has changed please log in again Any recommendations guys,Hello what platform eg ISR 4321 is this on and which IOS version are you running  Post your config we might spot something RVCE We got it sorted by enabling PAP or pairedaddresspooling feature 
Redistribute Static to EIGRP with lower Metric,Hi EverybodyAll our remotes sites are connected to our main datacenter via MPLS IPVPN and for one of these remote sites we had an additional ADSL connection installed for resiliency And an IPSEC tunnel has being configured between remote and head office ASA Have disabled RR on both ends Redistribute Static configured on the head office FW to EIGRP Manually added a static route with a higher AD So once the MPLS connection goes down and IPSEC tunnel is formed So no issues However when the primary connection comes back EIGRP doesnt switch back to the MPLS route but prefers the IPSEC path due to a lower metric that gets redistributed to the core with an AD of 170I know there are a few options like offset lists redistribute the static with a metric or a route mapThe config will need to be made on the HO firewall so what would be the preferred choice Any advice would be much appreciated,Hi My suggestion is use IP SLA to be monitoring the connectivity to MPLS once it is up an EEM script could be executed automatically in order to modify the static route metrics to set up them with higher Hope it is useful  RVCE Thanks Julio this is something we havent though of the scripting side Would there be any reference from Cisco regarding this method as I am fairly new to this field and havent done any EEM scripts on live environments RVCE Hi There is information about EEM on the Cisco Website now I could share an example imagining your scenario
NAT on a stick with CSR 1000v on Amazon,Hi I would like to set up NAT on a stick How can I do it on CSR 1000v Any working examples would be good policy routemap command is what people have commonly use to NAT traffic based on destination However the command is not available on CSR1000v what can I do about it ,Why would you want to do that when everything leaving and entering via the Internet is already NATed for you by Amazon RVCE I am using CSR 1000v on Amazon to establish IPSEC VPN tunnels with remote VPN partners Some may require us to perform source NATing prior to sending it through the tunnel Any advice on how I can do that  RVCE You may be able to use FlexVPN and VTIs That would provide you with interfaces to do NAT That would be my first choice Failing that a nasty trick that may work never tried it myself  create two loop back interfaces Build a GRE tunnel from one loopback to another loopback Then you can statically route traffic into the GRE tunnel  which will come straight back to you and use a routemap to do the final forward That would let you use ip nat inside and ip nat outside Another thought going through my mind is to create an extra vrf outside put one loopback into the outside vrf and then build you GRE tunnel between the inside and outside vrfs That will give you two completely seperate routing tables and you wont need any policy routing You could also explore doing vrf NAT which does not require an ip nat inside or ip nat outside You can also do vrf nat within a vrf Check out the ip nat enable command and vrf NAT RVCE I have similar requirement and I want NAT traffic on AWS transit VPC CSR router so if anyone tested this NAT setup then please be inform working solution RVCE Anyone able to advise on this  RVCE Just putting a note here for anybody looking for the solution For reference NAT with crypto map and other restrictions is not supported for CSR on AWS  httpwwwciscocomcenustddocsrouterscsr1000softwareawscsrawsawsoverviewpdf The workaround is to create vrf for NAT operation and run VASI between global and VRF Traffic from inside local must be PBRs into VASI to reach VRF Diagram  vasiright200  CSR1000v   vrf X     vasileft200  vasiright100      CSR1000v   Global RIB  vasileft100   physical interface   AWS cloud   VRF partinterface vasiright100 vrf for X ip address 10012 255255255252 no ip unreach no ip redi ip nat inside  interface vasiright200 vrf for X ip address 10022 255255255252 no ip unreach no ip redi ip nat outside  ip route vrf X inside local 255255255255 vasiright100 ip route vrf X 0000 0000 vasiright200 ip nat inside source static inside local inside global vrf X matchinvrfip route inside global 255255255255 vasileft200 For complex designs you may run BGP between VRFs over VASI interfaces RVCE Does the No NAT with crypto limitation apply only in this NAT on a Stick situation The document states You cannot apply NAT PAT on the same interface that is configured with a crypto map but in my case I have a second interface which is my nat inside I have AWS VPCs X and Y connected to my VPC As CSR 1000v via IPSECAWS VPN Gateway and I would like to have all traffic destined for the internet from VPC X and Y go through the 1000V in VPC A Is this possible
Replacing a discontinued SNA solution  advice appreciated,Hi  Im new here so please excuse me if Im not quite in the right place or not doing this quite rightFor background I have over 40 years computer experience but little or none of it in Comms We have a current SNA solution that communicates between an HP3000 computer in one location in the UK for which I am SysAdmin and an IBM computer in another UK location over 100 miles away This solution uses Cisco routers linked via a pair of dedicated ISDN lines But our comms supplier for this solution has announced it will be discontinued at the end of October 2018 so we need to seek an alternative approach As the HP3000 is old technology our options to change anything on it or add anything are limited to nonexistent eg no prospect of using say Enterprise Extender on it So we need a downstream box that will accept the SNA over serial cables and replace the existing downstream hardware And probably the same at the other end though there may be more flexibility there One change we could make is to output our SNA over SDLC rather than the currently X25 But our supplier will no longer support either nor the DLSw used over these lines We are not wedded to the leased ISDN lines which we recognise as old technology and would prefer to use the WAN over which much traffic already flows between these two sites though from other servers we operate This WAN is operated by a different comms supplier from the one mentioned above I am told though my understanding is sketchy that the link at the IBM end needs to appear at Level 2 I continue to suspect that there is Cisco equipment we could use for this though not the existing routers which anyway belong to the comms supplier Any advice will be welcomed,
ASR 903 ISSU upgrade,Hi I could not able to do the ISSU Can you please help ROUTERrequest platform software package install rp 1 file stbybootflashImageasr900rsp3universalk9031803SP1562SP3extbinFri Apr 27 144614 IST 2018  Starting local lock acquisition on R0 Fri Apr 27 144614 IST 2018 Finished local lock acquisition on R0Fri Apr 27 144614 IST 2018Fri Apr 27 144614 IST 2018  Starting installation state synchronization Fri Apr 27 144614 IST 2018 Finished installation state synchronizationFri Apr 27 144614 IST 2018Fri Apr 27 144617 IST 2018  Starting local lock acquisition on R1 Fri Apr 27 144617 IST 2018 Finished local lock acquisition on R1Fri Apr 27 144617 IST 2018Fri Apr 27 144617 IST 2018  Starting file path checking Fri Apr 27 144617 IST 2018 Finished file path checkingFri Apr 27 144617 IST 2018Fri Apr 27 144617 IST 2018  Starting image file verification Fri Apr 27 144617 IST 2018 Checking image file namesFri Apr 27 144617 IST 2018 Locating image files and validating name syntax Fri Apr 27 144617 IST 2018 Found asr900rsp3universalk9031803SP1562SP3extbinFri Apr 27 144617 IST 2018 Verifying image file locations Fri Apr 27 144617 IST 2018 FAILED Package files must reside in same location as provisioning file bootflashpackagesconf ROUTERdir bootflashImageDirectory of bootflashImage425154 rw 496135196 Apr 27 2018 024005 0530 asr900rsp3universalk9031803SP1562SP3extbin490627 rw 208643052 Apr 27 2018 024259 0530 asr900rsp3espbase031803SP1562SP3extpkg490628 rw 7438 Apr 27 2018 024307 0530 asr900rsp3packagesuniversalk9031803SP1562SP3extconf490629 rw 23315436 Apr 27 2018 024312 0530 asr900rsp3rpaccess031803SP1562SP3extpkg490630 rw 36178924 Apr 27 2018 024319 0530 asr900rsp3rpbase031803SP1562SP3extpkg490631 rw 32717808 Apr 27 2018 024327 0530 asr900rsp3rpcontrol031803SP1562SP3extpkg490632 rw 77397028 Apr 27 2018 024336 0530 asr900rsp3rpiosuniversalk9031803SP1562SP3extpkg490633 rw 18420716 Apr 27 2018 024344 0530 asr900rsp3sipbase031803SP1562SP3extpkg490634 rw 104465388 Apr 27 2018 024353 0530 asr900rsp3sipspa031803SP1562SP3extpkg490635 rw 8223 Apr 27 2018 024406 0530 packagesconf6185086976 bytes total 3426885632 bytes freeROUTER ROUTERdir stbybootflashImageDirectory of stbybootflashImage457858 rw 394589204 Jan 21 2016 131732 0530 asr900rsp3universalk9npe031700S1561Sstdbin457860 rw 141999080 Jan 21 2016 135544 0530 asr900rsp3espbase031700S1561Sstdpkg457861 rw 7298 Jan 21 2016 135551 0530 asr900rsp3packagesuniversalk9npe031700S1561Sstdconf457862 rw 23266284 Jan 21 2016 135556 0530 asr900rsp3rpaccess031700S1561Sstdpkg457863 rw 34497512 Jan 21 2016 135601 0530 asr900rsp3rpbase031700S1561Sstdpkg457864 rw 31595500 Jan 21 2016 135608 0530 asr900rsp3rpcontrol031700S1561Sstdpkg457865 rw 74966044 Jan 21 2016 135616 0530 asr900rsp3rpiosuniversalk9npe031700S1561Sstdpkg457866 rw 17626088 Jan 21 2016 135623 0530 asr900rsp3sipbase031700S1561Sstdpkg457867 rw 75506664 Jan 21 2016 135630 0530 asr900rsp3sipspa031700S1561Sstdpkg457877 rw 8223 Apr 27 2018 052340 0530 packagesconf457859 rw 496135196 Apr 27 2018 024446 0530 asr900rsp3universalk9031803SP1562SP3extbin457869 rw 208643052 Apr 27 2018 052245 0530 asr900rsp3espbase031803SP1562SP3extpkg457870 rw 7438 Apr 27 2018 052253 0530 asr900rsp3packagesuniversalk9031803SP1562SP3extconf457871 rw 23315436 Apr 27 2018 052257 0530 asr900rsp3rpaccess031803SP1562SP3extpkg457872 rw 36178924 Apr 27 2018 052303 0530 asr900rsp3rpbase031803SP1562SP3extpkg457873 rw 32717808 Apr 27 2018 052309 0530 asr900rsp3rpcontrol031803SP1562SP3extpkg457874 rw 77397028 Apr 27 2018 052315 0530 asr900rsp3rpiosuniversalk9031803SP1562SP3extpkg457875 rw 18420716 Apr 27 2018 052322 0530 asr900rsp3sipbase031803SP1562SP3extpkg457876 rw 104465388 Apr 27 2018 052329 0530 asr900rsp3sipspa031803SP1562SP3extpkg6185086976 bytes total 568225792 bytes freeROUTER,
network,hello allwe have one core switch 3850 directly connected to OUR cyberoam and internal lan we have done some NATing on cyberoam becouse some of our server access from outside the LAN ACCESS THROUGH WAN We have two ISP connection connecte first normal switch then cyberoam and then our core switchi wanna know that is it possible that our all configuration like NATing and routing which we have done in cyberoam move to our core switch and we use cyberoam as a proxy serverhow we use cyberoam as a proxy server,Hello as far as I know the 3850 doesnt support NAT unless something has changed very recently so you need another device router to move that functionality As far as using the Cyberoam as proxy server check the link below Configure Cyberoam as HTTP Proxy Server Using Single Port httpswwwscribdcomdocument283307589ConfigureCyberoamasHTTPProxyServerUsingSinglePort RVCE thanks mr Georg Pauwen can you share something about cyberoam that is free of cost or can you share some hint to do so
DSL Router Configuration All Static IP Assistance,I am attempting to implement a Cisco DSL Router using all static IP Addresses NO NAT and NO DHCPWe have been assigned the following IP AddressesThe old DSL router indicates that RFC1483 Bridged Ethernet LCCSNAP was used No usernamepassword is used to establish DSL connectionI have tried a couple of different configurations but the best I could perform was pingtraceroute from the router I could not get to the outside from a serverAny guidance or pointing me to the right direction would be appreciatedThankyouThomas,Hello with all public IP addresses theoretically your configuration should be straight forward Which router do you have  Can you post the configuration you have so far 
Failover between MPLS and IPsec VPN,Hi We have two Cisco 1841 routers at branch location MPLS is connected one router and Internet link is connected with another one We have configured ibgp between these two routers Both MPLS and Internet is configured with BGP protocol We have established IPsec tunnel between Internet router to PE MPLS cloud and it was successful Now we need to configure auto failover between MPLS and IPsec tunnel Mpls should be primary and IPsec should be secondary What will be configuration and in which router it needs to be configured Please help me to complete this quickly ThanksVijay,Hello it is unclear from your post what is connected to what Post a brief schematic drawing of your physical and logical setup
accesslist analyser,HiIn a customers network I have lots of large accesslists and entries are added lots of time Im looking for a tool that can analyse the acl and make it more efficient smaller with no overlapping entries Does someone know a tool like this,Hithere was ACL Manager httpwwwciscocomenUSproductsswcscoworkps402productsuserguidechapter09186a00801fceachtmlincluded in CiscoWorks family in the past but endoflife currently Im not sure if it was replaced by some better toolBRMilan RVCE As Milan stated ACL Manager which is part of CiscoWorks and the newest ACL Manager tool has been incorportated into Cisco Security ManagerhttpwwwciscocomenUSproductsps6498indexhtmlHTHEdison RVCE httpswwwyoutubecomwatchvGPk4mt3egSo far only in RussianIf it is in demand I will translate it into English in the future
Activating a data profile on CISCO 819 4G,I have just received a CISCO 819 4G that I need to configure into a very simple setupI have a SIM card Telstra I am using the browser based Cisco Configuration Professional 33 that has come preinstalledAt first glance typing in show cellular 0 all using the browser based CLI shows all data profiles as inactive I am not sure how for profile 0 it has dectected an AP of telstrainternet I am not sure if this is correct so I have created a new profile4 to use no authentication and telstrawapThis profile is also shown as inactive I was hoping to use a command likelte sim dataprofile 4 attachprofile 0 slot 0to make profile 4 the default and hopefully it becomes activeHowever when I try to run this command the invalid input detected message is shown on the browser based CLIAny ideas as to where I am going wrong Thanks,Hello you need to attach the new profile in controller configuration 819conf t819configcontroller cellular 010819configcontroller lte sim dataprofile 4 attachprofile 1 If you did it right this is what should show up under the controller 819controller Cellular 010 lte sim profile 4 RVCE Hi I have a similar issue but the only difference is none of my Data Profiles show active status they all show inactive How do I simply activate the profile wifishow cell 0 allHardware InformationModem Firmware Version  SWI9200X03051904Modem Firmware built  20120917 175714Hardware Version  10International Mobile Subscriber Identity IMSI  53720100163107International Mobile Equipment Identity IMEI  359470040123178Integrated Circuit Card ID ICCID  8967502010001631070Mobile Subscriber International SubscriberIDentity Number MSISDN  78172168 Profile InformationProfile 1  INACTIVEPDP Type  IPv4Access Point Name APN  InternetAuthentication  UnknownUsername nonePassword   Default profile Data Connection InformationData Transmitted  0 bytes Received  0 bytesProfile 1 Packet Session Status  INACTIVE Inactivity Reason  UnknownProfile 2 Packet Session Status  INACTIVE Inactivity Reason  UnknownProfile 3 Packet Session Status  INACTIVE Inactivity Reason  UnknownProfile 4 Packet Session Status  INACTIVE Inactivity Reason  UnknownProfile 5 Packet Session Status  INACTIVE Inactivity Reason  UnknownProfile 6 Packet Session Status  INACTIVE Inactivity Reason  UnknownProfile 7 Packet Session Status  INACTIVE Inactivity Reason  UnknownProfile 8 Packet Session Status  INACTIVE Inactivity Reason  UnknownProfile 9 Packet Session Status  INACTIVE Inactivity Reason  UnknownProfile 10 Packet Session Status  INACTIVE Inactivity Reason  UnknownProfile 11 Packet Session Status  INACTIVE Inactivity Reason  UnknownProfile 12 Packet Session Status  INACTIVE Inactivity Reason  UnknownProfile 13 Packet Session Status  INACTIVE Inactivity Reason  UnknownProfile 14 Packet Session Status  INACTIVE Inactivity Reason  UnknownProfile 15 Packet Session Status  INACTIVE Inactivity Reason  UnknownProfile 16 Packet Session Status  INACTIVE Inactivity Reason  Unknown Network InformationCurrent Service Status  NormalCurrent Service  Packet switchedCurrent Roaming Status  HomeNetwork Selection Mode  AutomaticMobile Country Code MCC  537Mobile Network Code MNC  2Packet switch domainPS state  AttachedRegistrationEMM state  Registered Radio InformationRadio power mode  ONCurrent RSSI  72 dBmLTE Technology Preference  AUTOLTE Technology Selected  LTE Modem Security InformationCard Holder Verification CHV1  DisabledSIM Status  OKSIM User Operation Required  NoneNumber of CHV1 Retries remaining  3 Error Information This command is not supported on 4G modems Modem Crashdump InformationModem crashdump logging offwifi
High Egress Surge on Transit router external Interface,1 First Network topologyInternetG00 TRCoreSWFirewall Server and LAN network Gateway Customers 2 Problem is at the G00 port on TR specially the Egress  Surges to 200 Mbps3 We are using NPM so we can see the DLUL utilization on each port and all are below 10 Mbps4 When Checking the TR webuiport G00egress I find the top usage from unknown and Domain name system5 What is that  Unknown  or how to know it  How to stop such surges or at least to know Why it happens so i can deal with it taking into consideration that this surge happens in 1 hour intervals any time in the day  peak hours or off hours like 3 am6 Its only the upload and its from the TR only which is weird for me I will attach a snap shot from the Webui We are using simple QoS but nothing was happening for the last few monthsthat just happened 2 days ago and its back to normal right now,So after doing a packet capture we found out that out bandwidth was being used through port 17 from an ip thats not in out network We applied an ACL for both egress and ingress blocking port 17 on our port and problem is solved
L3 routing problem with Public IP and Private series,I am using a Live IP on an interface of L3 switch and configured VLAN with Private series Internet is working fine on L3 switch but while connecting a laptop on switch with private series it can ping the private gateway and live IP of switch but internet isnt working Anyone faced this problem or have solution for the same Thanks,Hello which layer 3 switch do you have  Post the configuration and also indicate the IP address of the laptop directly connected to the switch RVCE Using SWc3750x Live IP address on interface 24 and 202000 series on interface 12 RVCE I tried to change the configuration now and connected L3 switch with router having 202001 IP and internet is working fine on switch And connected the laptop 203002 with Switch interface 12 but still internet connectivity is not working on laptopBuilding configurationCurrent configuration  1935 bytes Last configuration change at 041506 UTC Wed Mar 30 2011 NVRAM config last updated at 030136 UTC Wed Mar 30 2011version 152no service padservice timestamps debug datetime msecservice timestamps log datetime msecno service passwordencryptionno service dhcphostname Switchbootstartmarkerbootendmarkerno aaa newmodelswitch 1 provision wsc3750x24system mtu routing 1500ip routingip device trackingspanningtree mode pvstspanningtree extend systemidvlan internal allocation policy ascendinginterface FastEthernet0 no ip address no ip routecacheinterface GigabitEthernet101interface GigabitEthernet102interface GigabitEthernet103interface GigabitEthernet104interface GigabitEthernet105interface GigabitEthernet106interface GigabitEthernet107interface GigabitEthernet108interface GigabitEthernet109interface GigabitEthernet1010interface GigabitEthernet1011interface GigabitEthernet1012 no switchport ip address 203001 2552552550interface GigabitEthernet1013interface GigabitEthernet1014interface GigabitEthernet1015interface GigabitEthernet1016interface GigabitEthernet1017interface GigabitEthernet1018interface GigabitEthernet1019interface GigabitEthernet1020interface GigabitEthernet1021interface GigabitEthernet1022interface GigabitEthernet1023interface GigabitEthernet1024 no switchport ip address 202002 2552552550interface GigabitEthernet111interface GigabitEthernet112interface GigabitEthernet113interface GigabitEthernet114interface TenGigabitEthernet111interface TenGigabitEthernet112interface Vlan1 no ip addressip forwardprotocol ndip http serverip http secureserverip route 0000 0000 202001line con 0line vty 5 15end RVCE 20300024 is not part of the RFC1918 addreses It would be recommended to use addresses belonging to RFC1918 In your scenario you need to do NAT to access the internet If you are not doing NAT on the switch who is doing it The upstream router Regards Harold RitterSr Technical LeaderCCIE 4168 RS SPharoldciscocomMéxico móvil 52 1 55 8312 4915Cisco MéxicoPaseo de la Reforma 222Piso 19Cuauhtémoc JuárezCiudad de México 06600México RVCE Please check the configuration i had shared which i changed Building configurationCurrent configuration  1935 bytes Last configuration change at 041506 UTC Wed Mar 30 2011 NVRAM config last updated at 030136 UTC Wed Mar 30 2011version 152no service padservice timestamps debug datetime msecservice timestamps log datetime msecno service passwordencryptionno service dhcphostname Switchbootstartmarkerbootendmarkerno aaa newmodelswitch 1 provision wsc3750x24system mtu routing 1500ip routingip device trackingspanningtree mode pvstspanningtree extend systemidvlan internal allocation policy ascendinginterface FastEthernet0 no ip address no ip routecacheinterface GigabitEthernet101interface GigabitEthernet102interface GigabitEthernet103interface GigabitEthernet104interface GigabitEthernet105interface GigabitEthernet106interface GigabitEthernet107interface GigabitEthernet108interface GigabitEthernet109interface GigabitEthernet1010interface GigabitEthernet1011interface GigabitEthernet1012 no switchport ip address 203001 2552552550interface GigabitEthernet1013interface GigabitEthernet1014interface GigabitEthernet1015interface GigabitEthernet1016interface GigabitEthernet1017interface GigabitEthernet1018interface GigabitEthernet1019interface GigabitEthernet1020interface GigabitEthernet1021interface GigabitEthernet1022interface GigabitEthernet1023interface GigabitEthernet1024 no switchport ip address 202002 2552552550interface GigabitEthernet111interface GigabitEthernet112interface GigabitEthernet113interface GigabitEthernet114interface TenGigabitEthernet111interface TenGigabitEthernet112interface Vlan1 no ip addressip forwardprotocol ndip http serverip http secureserverip route 0000 0000 202001line con 0line vty 5 15end RVCE I suppose you use NAT right Can you please post you NAT configuration Regards Harold RitterSr Technical LeaderCCIE 4168 RS SPharoldciscocomMéxico móvil 52 1 55 8312 4915Cisco MéxicoPaseo de la Reforma 222Piso 19Cuauhtémoc JuárezCiudad de México 06600México RVCE I am not using NAT just basic configuration only RVCE Hello what exactly do you mean with live IP  Is that supposed to be a public IP address  Which device has IP address 202001 the default gateway of your switch  Post a schematic drawing of your setup RVCE I figured it out and issue has been resolved now A route was missing on my router for LAN and after adding that everything is working fine now Thanks guys 
cisco 3945 router space issue on the device how to perform upgrade IOS image,space issue on the device how to perform the IOS image upgradedue to space issue if we remove old one  reload the device with new IOS and if its not workwhat are the steps need to perform restore old image,Hello If the router doesnt boot up with the new image it should come up in rommon mode You can then use the TFTPDNLD utility to restore the old image See the attached link below httpswwwciscocomcenustddocsroutersaccess1900softwareconfigurationguideSoftwareConfigurationappendixCrommonhtml Hope this helps RVCE Post the complete output to the command dir RVCE Directory of flash0 2 rw 3064 Mar 27 2014 113550 0530 cpconfig39xxcfg 3 rw 33802 Jun 18 2015 131044 0530 highcputxt 4 drw 0 Mar 27 2014 113608 0530 ccpexp 245 rw 2464 Mar 27 2014 113752 0530 homeshtml 249 rw 375638 Mar 30 2017 163316 0530 crashinfo20170330163316IST 250 rw 347597 Apr 18 2017 170530 0530 crashinfo20170418170531 IST 252 rw 315937 May 24 2017 141640 0530 crashinfo20170524141640IST 253 rw 376802 May 24 2017 154722 0530 crashinfo20170524154723IST 254 rw 330762 Jan 15 2018 131610 0530 crashinfo20180115131611 IST 255 rw 600 Feb 2 2018 162414 0530 vlandat 256507904 bytes total 51994624 bytes free RVCE You should delete all the crashinfo files for a start to recover some space RVCE Ok so someone has deleted the IOS file Look at the back of the router image below Pay close attention to point 11 Remove the lid to CF0 and there should be a CF inside Eject that and use a multicard reader to copy a VALID IOS into the CF Put it back into the router and reboot the router RVCE Does a 3945 have a CF or USB port If so you can store the original flash on that RVCE Hello on a side note the 3945 runs the Universal image all of those require 1024256 DRAMFlash which is equal to the amount of DRAM and Flash your router comes with If you download a valid image there is no real reason why it shouldnt work
iWAN  APICEM,I cant seem to get a clear answer as to APICEM and its use with iWAN DO I need to run APICEM in order for Iwan to function Does the APICEM control daya to day operation and any troubleshooting of the Iwan solution Can I use APICEM long with traditional CLI troubleshooting and configurationThank you,Hi  APICEM is not required You can build IWAN by hand The problem is that if you want to convert to an APICEM controlled IWAN the APIC will entirely overwrite the router configurations So you really want to choose 1 or the other during the design and test phases of your project PSC RVCE Hello Paul Even we have the same issue we have build the whole setup by hand Now we want to move to APICEM for sites to get deployed Can you tell me any updates made on this Can we integrate APICEM with existing Master Controller and HUBs Regards SatyaMothukuri RVCE Hello Unfortunately there is not way to integrated APICEM IWAN app to your existing topology Best
Qos ane holdqueue,Gents we he default class mapans policy configured for Cisco phone and voice my question is do we need to add holdqueue command on router in interface which connects to core switch and core switch interface which connects to router ,That depends on many things first being whether your existing queue depths are optimal for your needsWhen you use policy maps I believe they generally override the interface holdqueue settings Often switches have specific commands for buffer management
WAN Test Upgrade  tool,Hi everybody its me againwell i have next one problemMy ISP realized an upgrade of my bandwidth how can i do check my really bandwidththere are tool or command in my router thanks Solved Go to Solution,There are several free tools which can be found on the Internet that can generate a volume of traffic If you can place a tool on both ends of your link you can verify its throughputAlso there are public tools that can be used to test bandwidth to test servers on the Internetegspeedtestnetwwwbandwidthplacecomopenspeedtestcomspeedofmetestmynet RVCE HelloYou might want to post this question underCisco Support Community Network Infrastructure WANRouting and Switching WAN Testing And this post might be helpfulhttpssupportforumsciscocomt5wanroutingandswitchingwantestingmp1591983ThanksPriya RVCE Thanks but it is not necessary in this case i need tool or cli which indicate my bandwight Mbps Thanks RVCE There are several free tools which can be found on the Internet that can generate a volume of traffic If you can place a tool on both ends of your link you can verify its throughputAlso there are public tools that can be used to test bandwidth to test servers on the Internetegspeedtestnetwwwbandwidthplacecomopenspeedtestcomspeedofmetestmynet
PFRv3 When adding pathid to external interfaces of Hub BR branch BR doesnt create channels,Hi everyone I have a simple setup of two ASR1001x with 1663 software The first ASR is both Hub MC and Hub BR and the second ASR is Branch MC and Branch BR They are connected by two tunnels over the same physical interface although for debugging purposes Im using a single tunnel at present 1 When the Hub MCs tunnels are configured with domain IWAN path SP1 PFRv3 works just fine However when I instead configure domain IWAN path SP1 pathid 1 the Branch BR doesnt create any channels On the Branch BR when I perform a show domain IWAN master channels or show domain IWAN border channels it comes up empty Moreover when I check for parent routes using show domain IWAN border parent route it also comes up empty Ive configured domain IWAN dynamicpath on the Branch BR but that didnt solve the problem When performing show platform hardware qfp active feature pfrv3 datapath global on the Branch BR the drop tag conflict counter increases steadily during this scenario When I configure the Hub BR without a pathid then drop tag conflict doesnt increment at all 2 I read in the release notes for IWAN 221 that In IWAN POP a PfR master controller and a PfR border router must be configured in different devices Any chance thats related to the issue If not what limitations would likely be seen if a continue to use my Hub MC as a BR Edit 1 Tried separating Hub MC from Hub BR the issue remains Thanks for your time,Hello Can you make sure that you are not using the same path id  same hub location Best Regards RVCE Hi Ive changed by topology quite a bit in the past weeks but as I recall things began to work as expected once I used different pathids in the same hubtransit I used the same pathid in both Hub and Site but not within the same site So your suggestion may have been what was missing at the time Any idea what would happen if I were to use different pathids for each of the tunnels across both hub and transit Meaning no pathid is the same across all my interfaces at the core sites Would it make the transit site not operate as designed Thanks
PFRv3 Traffic classes dont preempt back to active routes by EIGRP metric,Hi everyone I have a dual HUB PFRv3 setup with a number of spokes The WAN transport protocol is EIGRP The routers are ASR1001xs with the latest code 1663 Master Hub is Hub A H1 Transit site is Hub B H2 Each have two BRsThere are two spoke sites each with two BRs Spoke A S1 and Spoke B S2Each are connected to the dual hubs EIGRP metricwise H1 is the preferred path for all traffic from the spokes It is only when H1 has no active connections to the spoke does a spoke communicate via H2 This is done via changing the delays of the tunnels and cross interfaces between BRs at the Hubs and Spokes When traffic from S1 is destined to S2 when both H1 and H2 are available it flows like this S1  H1  S2 During failover testing I disconnected S1 from H1 The traffic then flows like thisS1  H2  S2 So far so good However when I return the connection between S1 and H1 the traffic classes continue to use H2 as their datapath It is only when I clear the trafficclasses at S1 that the TCs learn to use H1 as their Hub I checked the routing table including the PFR overrides H1 is recognized as the preferred route However the trafficclasses never preempt back from H2 to H1 Any ideas how this can be resolved even if using a timer Thanks,Can you show the trafficclasses for the flow you are taking about If you can also send your domain configuration it would make it easier to understand show run  sec domain With iWAN your delay configuration on EIGRP may not mean much the EIGRP routes are there more to make sure you have a parent route on the BR so it will be able to generate probes on the link They way your traffic will be handled is based on the policies you have defined so lets say you have it configured for MPLS link and then the INET link You probably have INET for both H1 and H2 so even when EIGRP shows a better metric to INET on H1 compared to MPLS to H2 iWAN will route that traffic to H2 There are multiple ways to configure iWAN so I not going to comment much about them here I think first we need to understand exactly how it is working now and how you want it to work We can then think of configuring different Path names or PathIDs on H1H2 RVCE Hi Sorry for the delayed reply Ill examine this issue shortly some other issues are taking up my time at the moment I was wondering do you have any idea if Spoke to Spoke PFRv3 is supported I havent found any documentation to suggest that PFRv3 works as designed between spoke to spoke only spoke to hub or transit
